,SMILES,NRotBonds,xyz
11,C1COCCO1,0,"14

C  1.3669  -0.1185  0.3881
C  0.6559  1.1689  0.5558
O  -0.6447  1.0781  0.9856
C  -1.3203  0.1138  0.2619
C  -0.6815  -1.2214  0.3944
O  0.6550  -1.2500  0.5556
H  2.2215  -0.1322  1.1295
H  1.8944  -0.1302  -0.6112
H  1.1838  1.8650  1.2703
H  0.6444  1.7362  -0.4132
H  -1.4899  0.4108  -0.8058
H  -2.3617  0.0713  0.6993
H  -0.9721  -1.8519  -0.4903
H  -1.1517  -1.7399  1.2814"
12,C1OCC=C1,0,"11

C  -1.1951  -0.0719  0.1847
O  -0.3885  -1.1649  0.4994
C  0.8315  -0.8882  -0.0692
C  0.9232  0.6065  -0.1333
C  -0.3042  1.0839  0.0211
H  -1.6953  -0.2802  -0.7716
H  -1.9328  0.0270  0.9948
H  0.8751  -1.3336  -1.0682
H  1.6270  -1.3027  0.5997
H  1.8085  1.2066  -0.2770
H  -0.5494  2.1175  0.0196"
13,CC12C3CC(CC13)C2(C)C,0,"26

C  -0.4873  2.1940  -0.1433
C  -0.5123  0.7282  -0.1218
C  -1.4485  -0.1263  -0.8464
C  -0.7985  -1.5117  -0.9726
C  0.1146  -1.4466  0.2394
C  -0.8934  -1.1019  1.3106
C  -1.6045  0.0486  0.5943
C  0.7521  -0.0968  0.0122
C  1.6313  0.3490  1.1280
C  1.5075  -0.0772  -1.2872
H  -0.7830  2.5713  0.8800
H  0.5030  2.6624  -0.3355
H  -1.2823  2.6218  -0.8199
H  -2.1696  0.1943  -1.5835
H  -0.2664  -1.6365  -1.9140
H  -1.5481  -2.3141  -0.7882
H  0.7495  -2.2695  0.4077
H  -1.6200  -1.8866  1.5100
H  -0.3465  -0.7286  2.1885
H  -2.4262  0.5619  1.0833
H  2.3110  1.1533  0.7335
H  2.3029  -0.4673  1.4500
H  1.1211  0.7584  1.9982
H  0.8274  0.0714  -2.1343
H  2.2529  0.7649  -1.2064
H  2.1133  -1.0166  -1.3825"
15,CC12CCC3C(CC3(C)C)C(=C)CCC1C2=O,0,"41

C  3.0621  2.3459  -0.5767
C  2.4164  1.1502  0.1293
C  1.1073  1.3227  0.7920
C  -0.0846  1.2244  -0.1244
C  -0.9549  0.1181  0.3468
C  -1.1849  -0.9425  -0.7401
C  -2.5442  -1.1264  -0.1489
C  -2.4465  0.3447  0.2962
C  -2.9456  1.2402  -0.7832
C  -3.0906  0.5171  1.6504
C  -0.2277  -2.0415  -0.6804
C  -0.6236  -3.2473  -0.2943
C  1.1858  -1.7747  -1.0617
C  2.0518  -1.3380  0.0740
C  2.8876  -0.1431  -0.2136
C  3.4551  0.4897  1.0526
O  4.1583  0.5035  2.0311
H  2.5220  2.6345  -1.4782
H  3.1977  3.1704  0.1587
H  4.1028  2.0470  -0.8711
H  0.9869  0.6572  1.6875
H  1.0791  2.3654  1.2275
H  -0.6951  2.1581  -0.1457
H  0.2556  1.0875  -1.1889
H  -0.6861  -0.3045  1.3306
H  -1.2006  -0.4732  -1.7440
H  -2.5489  -1.8037  0.7341
H  -3.3795  -1.3026  -0.8294
H  -3.8731  0.7602  -1.2138
H  -3.2322  2.2057  -0.3314
H  -2.1883  1.3493  -1.5573
H  -3.1939  1.6115  1.8740
H  -2.3990  0.0624  2.3961
H  -4.0812  0.0274  1.6658
H  -1.6415  -3.4612  -0.0157
H  0.0853  -4.0623  -0.2497
H  1.2056  -1.0039  -1.8831
H  1.5744  -2.7077  -1.5685
H  1.5169  -1.2001  1.0322
H  2.7684  -2.1918  0.2728
H  3.6031  -0.2685  -1.0515"
16,CC12CCC3C(CC3(C)C)C(=C)CCC1O2,0,"40

C  -3.4043  -2.3747  0.6283
C  -2.3842  -1.3543  0.0616
C  -1.0300  -1.5552  0.5990
C  0.1169  -1.2698  -0.3482
C  0.8855  -0.1019  0.2274
C  0.8170  1.1499  -0.5648
C  2.2991  1.3751  -0.2285
C  2.3875  -0.1437  -0.0591
C  2.7534  -0.8264  -1.3345
C  3.1787  -0.5790  1.1436
C  -0.0771  2.1262  0.0975
C  0.4157  3.3177  0.4088
C  -1.5128  1.7681  0.4084
C  -2.1531  1.0380  -0.7503
C  -2.8892  -0.1844  -0.4107
O  -2.4866  -1.3058  -1.3371
H  -2.8810  -3.3555  0.6759
H  -3.6046  -2.0572  1.6709
H  -4.2957  -2.4024  0.0041
H  -0.8591  -1.0508  1.5983
H  -0.8987  -2.6481  0.8780
H  -0.1801  -1.1562  -1.3887
H  0.8755  -2.1133  -0.3665
H  0.7148  0.0657  1.3038
H  0.6773  0.9806  -1.6331
H  2.8976  1.7799  -1.0460
H  2.4135  1.8579  0.7642
H  3.2796  -1.7945  -1.1524
H  3.5073  -0.1721  -1.8579
H  1.8845  -1.0002  -2.0001
H  2.6541  -0.3441  2.0914
H  4.2213  -0.1648  1.1219
H  3.2858  -1.6732  1.0926
H  1.4450  3.5548  0.1785
H  -0.2563  4.0222  0.8951
H  -2.0243  2.7531  0.6246
H  -1.5894  1.2147  1.3664
H  -1.3537  0.9135  -1.5403
H  -2.8219  1.8099  -1.2470
H  -4.0080  -0.0993  -0.5751"
17,CC12CCC3C(CCC4CC(=O)CCC34C)C1CC=C2,0,"48

C  -2.6051  -2.0046  -0.1343
C  -2.6835  -0.5414  -0.4623
C  -2.0430  -0.1932  -1.7675
C  -0.6842  0.4636  -1.5452
C  0.0511  -0.2009  -0.3689
C  -0.6640  0.0389  0.9213
C  -0.1340  1.0987  1.8035
C  1.1187  1.7734  1.3263
C  2.0238  0.6412  0.8738
C  3.4363  1.0510  0.8756
C  4.2762  -0.0364  0.3150
O  5.3379  -0.3858  0.7965
C  3.7885  -0.7254  -0.8923
C  2.3260  -1.0842  -0.8096
C  1.4827  0.1434  -0.4278
C  1.8053  1.1494  -1.5431
C  -2.0851  0.3441  0.5910
C  -3.0722  0.0665  1.7005
C  -4.3432  0.2014  0.8849
C  -4.1067  -0.1521  -0.3667
H  -2.2972  -2.5520  -1.0717
H  -1.8936  -2.2739  0.6362
H  -3.5865  -2.4488  0.1411
H  -1.8583  -1.1644  -2.3048
H  -2.6515  0.4716  -2.3839
H  -0.1144  0.2479  -2.4718
H  -0.8568  1.5333  -1.3629
H  -0.0697  -1.2924  -0.5989
H  -0.6776  -0.9104  1.5385
H  0.0909  0.7467  2.8557
H  -0.8862  1.9263  1.9717
H  0.8901  2.4754  0.5077
H  1.5469  2.3322  2.1828
H  1.9011  -0.1969  1.6173
H  3.6487  2.0404  0.4293
H  3.7537  1.1582  1.9563
H  4.3342  -1.6684  -1.0951
H  3.9764  -0.0753  -1.7828
H  2.0034  -1.3454  -1.8423
H  2.1493  -1.9284  -0.1438
H  2.8279  1.5597  -1.3717
H  1.8888  0.6143  -2.5338
H  1.1200  1.9910  -1.5599
H  -2.2356  1.3904  0.2824
H  -2.9916  -0.9308  2.1296
H  -3.0677  0.8953  2.4119
H  -5.3044  0.5364  1.2633
H  -4.8657  -0.1445  -1.1709"
18,CC12CCC3C(CCC4CC(O)CCC34C)C1CC=C2,0,"50

C  -2.9795  -0.9968  1.3704
C  -2.8019  0.3150  0.6535
C  -2.0210  1.3172  1.4213
C  -0.6494  1.5605  0.8177
C  0.0275  0.2433  0.4115
C  -0.7885  -0.4768  -0.5977
C  -0.2271  -0.5283  -1.9806
C  1.1692  -1.0534  -1.9049
C  2.0719  -0.3678  -0.9395
C  2.9550  -1.4831  -0.3780
C  3.8398  -1.0368  0.7291
O  4.6879  -0.0229  0.2961
C  2.9073  -0.5695  1.8225
C  2.2191  0.6580  1.3543
C  1.4497  0.5029  0.0573
C  1.4584  1.9374  -0.5182
C  -2.1223  0.1463  -0.6860
C  -3.1956  -0.6720  -1.3706
C  -4.3733  0.1879  -0.9626
C  -4.1340  0.7532  0.2066
H  -2.1018  -1.6384  1.3823
H  -3.2589  -0.7306  2.4310
H  -3.8751  -1.5346  0.9806
H  -2.5063  2.2913  1.5157
H  -1.8415  0.9448  2.4562
H  -0.0735  2.0842  1.5937
H  -0.7832  2.2399  -0.0194
H  0.0293  -0.3572  1.3633
H  -0.9339  -1.5534  -0.2828
H  -0.3597  0.3790  -2.5825
H  -0.8270  -1.3165  -2.5327
H  1.5707  -1.0312  -2.9630
H  1.0766  -2.1628  -1.7016
H  2.7985  0.2355  -1.5687
H  3.5228  -1.8835  -1.2319
H  2.2673  -2.2776  -0.0265
H  4.3899  -1.8975  1.1083
H  5.0254  -0.3086  -0.6018
H  2.2115  -1.4022  2.0427
H  3.5373  -0.3000  2.6872
H  2.9693  1.4789  1.3110
H  1.5273  0.9510  2.1956
H  0.7629  2.0767  -1.3342
H  2.4903  2.0992  -0.9497
H  1.3838  2.6847  0.3015
H  -2.1170  1.1311  -1.2079
H  -3.0604  -0.6674  -2.4579
H  -3.2858  -1.6976  -0.9630
H  -5.2692  0.3179  -1.5390
H  -4.7628  1.4306  0.7914"
19,CC12CCC(C=C1)C(C)(C)O2,0,"27

C  2.4182  0.7709  -1.0390
C  1.2238  0.1359  -0.4210
C  1.4657  0.0267  1.0831
C  0.2304  -0.5532  1.7261
C  -0.7802  -0.8580  0.6543
C  -0.1142  -1.8038  -0.3227
C  0.9722  -1.2530  -0.8998
C  -1.0643  0.4054  -0.1637
C  -2.0554  -0.0380  -1.2493
C  -1.7219  1.4711  0.6381
O  0.1016  0.8812  -0.7063
H  2.5038  1.7929  -0.6151
H  3.3723  0.2616  -0.8145
H  2.2789  0.9155  -2.1384
H  2.3301  -0.6723  1.1912
H  1.6871  1.0091  1.5155
H  -0.1646  0.1367  2.4815
H  0.5031  -1.5335  2.2001
H  -1.6826  -1.3253  1.0366
H  -0.4683  -2.7858  -0.5242
H  1.5793  -1.7704  -1.6229
H  -2.2749  0.7819  -1.9501
H  -1.6372  -0.9246  -1.7795
H  -2.9551  -0.3872  -0.6976
H  -1.3342  1.5937  1.6618
H  -2.8254  1.2826  0.6436
H  -1.5883  2.4397  0.1123"
20,CC12CCC(CC1)C(C)(C)O2,0,"29

C  -2.3556  -1.1066  0.8978
C  -1.1936  -0.3677  0.2498
C  -1.4595  1.1410  0.2219
C  -0.1801  1.7696  -0.3186
C  0.7483  0.6859  -0.7812
C  0.1419  -0.2459  -1.7804
C  -1.1416  -0.7845  -1.2176
C  1.1031  -0.1475  0.4523
C  1.8019  0.7607  1.4604
C  2.0950  -1.2427  0.1012
O  -0.0571  -0.6905  0.9387
H  -1.9878  -1.8610  1.6451
H  -2.9369  -1.6963  0.1572
H  -2.9773  -0.3824  1.4599
H  -2.2342  1.2917  -0.5525
H  -1.7549  1.5332  1.1918
H  0.3065  2.2535  0.5697
H  -0.3666  2.5580  -1.0456
H  1.6535  1.1685  -1.1851
H  0.8364  -1.1115  -1.8935
H  0.0270  0.1835  -2.7925
H  -1.9750  -0.2235  -1.7331
H  -1.2954  -1.8514  -1.3634
H  2.6916  0.2456  1.9147
H  1.1401  1.0069  2.3137
H  2.2222  1.6689  0.9649
H  2.9319  -1.2920  0.8559
H  1.6199  -2.2408  0.1322
H  2.5962  -1.0225  -0.8634"
21,CC12CCCC(C)(C)C1=CC(=O)O2,0,"29

C  -1.6971  -0.9658  -1.0326
C  -1.4366  -0.0036  0.1104
C  -1.3647  1.4224  -0.3644
C  -0.2455  1.5127  -1.3526
C  1.0623  1.1543  -0.7661
C  1.1219  -0.1140  0.0309
C  2.2538  0.0703  1.0528
C  1.4126  -1.3281  -0.8146
C  -0.1422  -0.3332  0.8004
C  -0.3675  -0.7489  2.0256
C  -1.8113  -0.7128  2.2227
O  -2.4124  -1.0553  3.3075
O  -2.4121  -0.2573  1.0694
H  -2.7213  -0.7177  -1.4069
H  -1.0063  -0.8940  -1.8638
H  -1.7183  -1.9885  -0.5763
H  -1.1402  2.0565  0.5118
H  -2.3047  1.6825  -0.8689
H  -0.1821  2.6097  -1.6307
H  -0.4928  1.0135  -2.3094
H  1.3733  2.0063  -0.0920
H  1.8655  1.0992  -1.5300
H  2.1452  1.1095  1.4615
H  3.2169  0.0220  0.4872
H  2.1915  -0.6712  1.8549
H  0.6738  -2.1399  -0.6861
H  2.4149  -1.7370  -0.5426
H  1.3828  -1.0216  -1.8871
H  0.3407  -1.0699  2.7887"
