,SMILES,NRotBonds,xyz
22,CC12CCCC(C)(C)C3C(CCC13)C2=C,0,"39

C  -2.4918  0.4646  -1.4231
C  -1.1742  0.4908  -0.6361
C  -0.7362  1.9141  -0.6017
C  0.7653  2.0657  -0.6457
C  1.3197  1.4578  0.5948
C  1.6168  0.0143  0.5365
C  1.9175  -0.4363  1.9777
C  2.9574  -0.1529  -0.1968
C  0.6533  -0.8898  -0.0340
C  -0.5314  -1.2812  0.8492
C  -1.1346  -2.3566  -0.0524
C  -0.9321  -1.7696  -1.4445
C  -0.1601  -0.4560  -1.2170
C  -1.3852  -0.0953  0.7297
C  -2.2146  0.4113  1.6367
H  -2.9905  1.4687  -1.3686
H  -2.2977  0.2942  -2.5051
H  -3.2083  -0.2536  -0.9886
H  -1.0582  2.3341  0.3960
H  -1.2492  2.5582  -1.3537
H  0.9688  3.1660  -0.6232
H  1.2342  1.6510  -1.5350
H  0.6719  1.6593  1.4893
H  2.2830  1.9971  0.8384
H  2.1545  -1.5064  2.0073
H  2.8768  0.0957  2.2351
H  1.0899  -0.1222  2.6154
H  3.4767  -1.0577  0.1764
H  2.7934  -0.1811  -1.2939
H  3.5679  0.7268  0.0768
H  1.1508  -1.8552  -0.3267
H  -0.2692  -1.6109  1.8287
H  -2.1847  -2.5522  0.1717
H  -0.4705  -3.2412  0.0564
H  -0.3443  -2.4587  -2.0742
H  -1.9125  -1.6095  -1.8814
H  0.3767  -0.1180  -2.0780
H  -2.8083  1.2954  1.4581
H  -2.3212  -0.0605  2.6055"
23,CC12OC1CC1CC2C1(C)C,0,"27

C  2.7237  -0.4104  0.8438
C  1.3827  0.2142  0.4811
O  1.2327  1.5031  0.8860
C  1.3223  1.2652  -0.5110
C  0.0701  1.3783  -1.3178
C  -0.7906  0.1445  -1.1774
C  0.1308  -1.0850  -1.1287
C  0.2656  -0.7515  0.3695
C  -1.0963  -0.1656  0.2699
C  -2.1467  -1.2780  0.3193
C  -1.4723  0.9541  1.1435
H  2.6756  -1.5193  0.8420
H  2.9999  -0.0417  1.8509
H  3.5250  -0.1214  0.1568
H  2.2128  1.7658  -0.9434
H  0.3615  1.4401  -2.3926
H  -0.5208  2.2915  -1.1137
H  -1.6085  0.0487  -1.8866
H  -0.4380  -2.0204  -1.2348
H  1.0569  -0.9815  -1.6897
H  0.3100  -1.6512  1.0169
H  -2.8420  -1.1132  1.1870
H  -2.7164  -1.3227  -0.6320
H  -1.6971  -2.2657  0.4785
H  -1.1531  0.7635  2.1949
H  -2.6016  0.9922  1.2006
H  -1.1862  1.9659  0.7870"
24,CC1C2CC(CC1=O)C2(C)C,0,"27

C  2.4624  -1.3046  -0.3661
C  1.1994  -0.5539  -0.6507
C  0.1076  -0.8195  0.3577
C  0.1884  0.1889  1.5032
C  -0.6069  1.1319  0.5859
C  0.4313  1.8721  -0.2174
C  1.5013  0.9181  -0.6344
O  2.5888  1.3518  -0.9503
C  -1.1250  -0.0972  -0.0979
C  -1.3713  -0.0281  -1.5537
C  -2.3851  -0.5841  0.6299
H  3.2797  -0.8200  -0.9706
H  2.3285  -2.3595  -0.6674
H  2.7663  -1.2356  0.6902
H  0.7940  -0.8626  -1.6397
H  -0.0346  -1.8541  0.6642
H  -0.3742  -0.1234  2.3962
H  1.1873  0.5313  1.7606
H  -1.3311  1.7665  1.1031
H  0.9324  2.5727  0.5149
H  0.0338  2.4716  -1.0304
H  -2.3990  0.3765  -1.7169
H  -1.4259  -1.0867  -1.9427
H  -0.6884  0.5839  -2.1386
H  -3.2289  -0.0142  0.1607
H  -2.2884  -0.3854  1.7096
H  -2.5424  -1.6365  0.3800"
27,CC1=C2CCC(C)=CC2OC1,0,"25

C  -2.7364  1.6341  -0.1717
C  -1.9465  0.3739  0.0770
C  -0.6918  0.1155  -0.2615
C  0.3041  0.9544  -0.9705
C  1.6141  0.2257  -1.1308
C  1.9240  -0.5055  0.1245
C  3.3052  -0.4381  0.6721
C  1.0086  -1.2148  0.7701
C  -0.3692  -1.2806  0.2215
O  -1.2873  -1.4114  1.2792
C  -2.4373  -0.8457  0.7568
H  -2.0676  2.4485  -0.4894
H  -3.2439  1.9616  0.7567
H  -3.4878  1.4909  -0.9646
H  -0.0903  1.2851  -1.9616
H  0.4902  1.8796  -0.3869
H  1.5688  -0.4624  -2.0095
H  2.3905  0.9951  -1.3122
H  3.9698  -0.8816  -0.1096
H  3.4179  -1.0154  1.5987
H  3.5779  0.6085  0.8922
H  1.3111  -1.7195  1.6784
H  -0.5150  -2.0327  -0.5480
H  -3.2041  -0.6336  1.5234
H  -2.8049  -1.5318  -0.0342"
28,CC1C2CCC(C)=CC2OC1=O,0,"26

C  3.1557  0.3561  0.5251
C  2.0716  -0.3458  -0.2342
C  0.7379  -0.3248  0.5267
C  -0.0966  -1.4161  -0.0259
C  -1.5487  -1.1693  -0.1035
C  -1.9839  0.2025  0.1716
C  -3.4650  0.4349  0.2713
C  -1.1909  1.2305  0.3356
C  0.2654  1.0562  0.2478
O  0.7553  1.3687  -1.0298
C  1.6827  0.4348  -1.4560
O  2.1064  0.2801  -2.6293
H  2.9895  0.4148  1.6044
H  3.2499  1.4039  0.1223
H  4.1200  -0.1349  0.2501
H  2.3078  -1.3933  -0.4801
H  0.9867  -0.4948  1.6056
H  0.0892  -2.3364  0.6036
H  0.2610  -1.7285  -1.0518
H  -2.1100  -1.8399  0.6120
H  -1.9756  -1.4512  -1.1114
H  -3.8276  0.0377  1.2220
H  -3.9960  -0.0472  -0.5922
H  -3.7047  1.5154  0.2030
H  -1.6017  2.2126  0.5363
H  0.7217  1.7341  1.0259"
30,CC1(C)C2CC1C(=C)C=C2,0,"24

C  -1.1842  1.0074  0.8839
C  -0.9136  -0.0536  -0.1227
C  -2.1157  -0.3397  -0.9845
C  -0.2658  -1.3239  0.4075
C  0.5010  -1.3759  -0.9229
C  0.3621  0.1466  -0.9199
C  1.4162  0.6791  -0.0276
C  2.1393  1.7119  -0.3892
C  1.5802  -0.0225  1.2556
C  0.7288  -1.0148  1.4439
H  -2.1016  1.5803  0.5810
H  -0.3843  1.7742  0.9714
H  -1.4076  0.5135  1.8611
H  -2.2614  0.5370  -1.6483
H  -1.9812  -1.2822  -1.5281
H  -3.0024  -0.4020  -0.3112
H  -0.9244  -2.1676  0.5778
H  -0.0307  -1.8903  -1.7174
H  1.5741  -1.6608  -0.7860
H  0.2529  0.6102  -1.8960
H  2.0228  2.2273  -1.3254
H  2.8977  2.0736  0.2842
H  2.3384  0.2640  1.9704
H  0.7593  -1.5919  2.3425"
31,CC1(C)C2CC1C(=C)CC2,0,"26

C  2.3395  0.8138  0.0864
C  1.0312  0.1292  -0.1249
C  1.0380  -0.7796  -1.2962
C  0.4879  -0.5696  1.1147
C  -0.0894  0.7776  1.5173
C  -0.1240  1.0833  0.0096
C  -1.3801  0.4772  -0.4774
C  -2.0879  1.0866  -1.3907
C  -1.7880  -0.8188  0.1031
C  -0.6383  -1.4946  0.8129
H  2.6613  1.2317  -0.8978
H  2.2680  1.6943  0.7670
H  3.1413  0.1119  0.4277
H  1.8840  -0.5251  -1.9739
H  1.2727  -1.8163  -0.9195
H  0.0746  -0.8672  -1.8272
H  1.2670  -0.9603  1.7618
H  0.6622  1.3687  2.0725
H  -1.0921  0.7067  1.9584
H  0.0589  2.1242  -0.2357
H  -1.7957  2.0326  -1.8184
H  -3.0041  0.6383  -1.7418
H  -2.1601  -1.4844  -0.7311
H  -2.6861  -0.7056  0.7690
H  -0.3011  -2.4059  0.2367
H  -1.0397  -1.8487  1.7976"
32,CC1(C)C2CC1C(=C)C(=O)C2,0,"25

C  -2.1597  0.4031  0.9089
C  -0.9261  0.1719  0.0549
C  -1.0316  0.7595  -1.2996
C  -0.4735  -1.2573  0.1583
C  0.2645  -0.8519  1.4431
C  0.3067  0.5500  0.8613
C  1.4480  0.5881  -0.0830
C  2.1772  1.6579  -0.2386
C  1.6857  -0.6640  -0.8193
O  2.7825  -0.8680  -1.3904
C  0.5666  -1.6415  -0.8377
H  -2.1793  -0.3298  1.7387
H  -3.0917  0.2586  0.3112
H  -2.0954  1.4430  1.3011
H  -2.1252  0.7899  -1.5747
H  -0.4836  0.2522  -2.0937
H  -0.7184  1.8421  -1.3431
H  -1.2394  -1.9862  0.4004
H  1.2776  -1.2756  1.5169
H  -0.3387  -0.9730  2.3498
H  0.2014  1.3713  1.5546
H  1.9426  2.5365  0.3350
H  3.0080  1.6792  -0.9288
H  1.0159  -2.6154  -0.4818
H  0.1856  -1.8405  -1.8433"
33,CC1(C)C2CC1C(=C)C(O)C2,0,"27

C  -2.5170  0.5867  0.3645
C  -1.1890  0.0091  -0.0771
C  -1.2970  -0.8466  -1.2846
C  -0.4676  -0.5760  1.1125
C  -0.0453  0.8659  1.4327
C  -0.1429  1.0884  -0.0888
C  1.1604  0.6402  -0.6204
C  1.7752  1.4024  -1.5005
C  1.7111  -0.6461  -0.1362
O  2.9170  -0.4317  0.5299
C  0.7435  -1.3744  0.7632
H  -2.8365  0.1282  1.3442
H  -2.4783  1.6753  0.5401
H  -3.3121  0.3680  -0.3738
H  -2.3553  -0.9440  -1.6236
H  -0.9700  -1.9079  -1.0840
H  -0.7222  -0.4946  -2.1575
H  -1.0822  -1.0400  1.8778
H  -0.8084  1.4298  1.9855
H  0.9741  0.8727  1.8206
H  -0.4655  2.0985  -0.3349
H  2.7328  1.0988  -1.9078
H  1.3862  2.3446  -1.8645
H  1.9776  -1.2689  -1.0370
H  3.6047  -1.0996  0.2925
H  0.4454  -2.3523  0.3161
H  1.2612  -1.6265  1.7112"
37,CC1(C)C2CC1C(=O)CC2,0,"24

C  -0.8813  -1.5496  0.2490
C  -0.8538  -0.0866  0.0067
C  -2.2245  0.5357  -0.1178
C  0.0629  0.4246  -1.0594
C  0.2709  1.6652  -0.1795
C  -0.0206  0.7272  1.0014
C  1.1646  -0.0697  1.3281
O  1.5271  -0.2332  2.4629
C  1.9291  -0.6876  0.1999
C  1.3762  -0.2842  -1.1351
H  -0.5602  -1.7442  1.3132
H  -0.3278  -2.1641  -0.4684
H  -1.9450  -1.9079  0.2185
H  -2.9484  -0.1023  0.4451
H  -2.5398  0.5506  -1.1648
H  -2.2770  1.5402  0.3733
H  -0.3538  0.6221  -2.0424
H  1.3036  2.0270  -0.2291
H  -0.5333  2.4111  -0.2661
H  -0.5866  1.1707  1.8149
H  1.9530  -1.8056  0.3344
H  2.9904  -0.3614  0.3413
H  2.1146  0.4508  -1.5728
H  1.3597  -1.1286  -1.8533"
38,CC1=CC2C(CC1)C2(C)C,0,"26

C  2.9683  0.7895  -1.0594
C  1.6632  0.4238  -0.3578
C  0.7620  1.3387  -0.0993
C  -0.4960  1.0664  0.5619
C  -0.5781  -0.1834  1.2932
C  0.4487  -1.2093  1.0812
C  1.4388  -0.9815  0.0182
C  -1.5074  0.0766  0.1446
C  -2.9454  0.2772  0.5725
C  -1.3223  -0.5600  -1.1862
H  3.6837  1.0934  -0.2675
H  2.7873  1.6091  -1.7702
H  3.3338  -0.1055  -1.5565
H  1.0271  2.3664  -0.4273
H  -0.9282  1.9743  1.0858
H  -0.9848  -0.1546  2.3437
H  1.0093  -1.4191  2.0408
H  -0.0711  -2.1906  0.8693
H  1.1580  -1.5220  -0.9356
H  2.4397  -1.4291  0.2651
H  -2.9945  1.0914  1.3235
H  -3.2490  -0.6534  1.1141
H  -3.6212  0.4124  -0.2729
H  -2.2630  -0.3906  -1.7847
H  -0.5343  -0.0708  -1.7987
H  -1.2245  -1.6491  -1.1141"
39,CC1(C)C2CCC1C(=C)C2,0,"26

C  -2.1670  0.1615  0.2415
C  -0.8223  -0.3611  -0.0846
C  -0.8452  -1.7793  -0.5404
C  -0.1355  0.5563  -1.1083
C  -0.1591  1.8475  -0.3465
C  0.1676  1.3990  1.0759
C  0.2024  -0.1203  1.0300
C  1.4485  -0.4923  0.3234
C  2.5132  -1.1296  0.7665
C  1.2721  0.0144  -1.0642
H  -2.5284  0.8245  -0.5871
H  -2.9026  -0.6911  0.2578
H  -2.2235  0.6394  1.2292
H  -1.5245  -2.3470  0.1051
H  0.1321  -2.2689  -0.5511
H  -1.2770  -1.8041  -1.5656
H  -0.6055  0.5575  -2.0686
H  -1.1454  2.3241  -0.4086
H  0.6554  2.4847  -0.7454
H  -0.5741  1.7702  1.7960
H  1.1880  1.7250  1.3749
H  -0.0067  -0.6193  1.9462
H  3.3379  -1.3138  0.0958
H  2.5847  -1.4797  1.8030
H  1.9569  0.8918  -1.1898
H  1.4579  -0.7895  -1.7853"
42,CC1=CC2=C(C=C1)C=C(C)C=C2,0,"24

C  -3.9638  -0.2599  0.0799
C  -2.4711  -0.3151  -0.0966
C  -1.6484  0.5374  0.6042
C  -0.2758  0.4896  0.4445
C  0.2394  -0.4386  -0.4382
C  -0.5682  -1.3115  -1.1587
C  -1.9171  -1.2312  -0.9717
C  1.6225  -0.5157  -0.6253
C  2.4796  0.3203  0.0576
C  3.9526  0.2068  -0.1701
C  1.9295  1.2305  0.9271
C  0.5710  1.3427  1.1438
H  -4.4691  -0.4781  -0.9019
H  -4.2450  -0.9712  0.8649
H  -4.2560  0.7835  0.3689
H  -2.0366  1.2696  1.2989
H  -0.1276  -2.0336  -1.8489
H  -2.5908  -1.8859  -1.5064
H  1.9973  -1.2347  -1.3071
H  4.3673  -0.7173  0.2551
H  4.4829  1.1166  0.1842
H  4.1795  0.1595  -1.2757
H  2.6130  1.8779  1.4542
H  0.1348  2.0582  1.8275"
43,CC1=CC2=C(C=C1)C(C)(C)CC=C2,0,"29

C  4.1348  -0.0739  0.2420
C  2.6586  -0.1210  0.1760
C  1.9600  0.8431  -0.5126
C  0.5692  0.8483  -0.6077
C  -0.1516  -0.1465  0.0076
C  0.5357  -1.1364  0.7126
C  1.9074  -1.0986  0.7778
C  -1.6356  -0.2439  -0.0253
C  -2.0905  -0.2392  1.4399
C  -2.0149  -1.6212  -0.5838
C  -2.3205  0.8267  -0.7841
C  -1.4564  1.8405  -1.4026
C  -0.1381  1.8854  -1.3455
H  4.4958  0.9560  0.1102
H  4.4587  -0.4021  1.2478
H  4.5870  -0.6772  -0.5705
H  2.4954  1.6590  -1.0209
H  -0.0421  -1.9253  1.2002
H  2.4415  -1.8704  1.3273
H  -1.2819  -0.5875  2.1137
H  -2.9738  -0.8668  1.5968
H  -2.2921  0.8435  1.6667
H  -1.2819  -1.8607  -1.3812
H  -2.0012  -2.3428  0.2471
H  -3.0230  -1.5806  -1.0024
H  -3.0541  1.3751  -0.1176
H  -2.9826  0.4191  -1.5932
H  -1.9642  2.6422  -1.9704
H  0.4605  2.6549  -1.8188"
44,CC1=CC2C(CC1)=C(C)CCCC2(C)C,0,"39

C  3.9380  -0.3449  0.7011
C  2.5150  0.0108  0.4022
C  1.4956  -0.5314  1.0120
C  0.0734  -0.2262  0.7657
C  -0.1037  1.0370  -0.0079
C  1.0600  1.8866  -0.3998
C  2.2810  1.0250  -0.6391
C  -1.2910  1.4878  -0.4013
C  -1.2119  2.7679  -1.1574
C  -2.6568  0.9291  -0.2147
C  -2.7693  -0.1341  0.8035
C  -2.0444  -1.3891  0.6079
C  -0.6632  -1.3802  0.1352
C  0.0287  -2.6365  0.7053
C  -0.4495  -1.4721  -1.3440
H  4.0276  -1.1861  1.3937
H  4.4032  0.5561  1.1637
H  4.4238  -0.5127  -0.2804
H  1.7181  -1.2844  1.7791
H  -0.3826  -0.1211  1.7980
H  0.8851  2.3962  -1.3930
H  1.2808  2.6704  0.3470
H  3.1570  1.6749  -0.7945
H  2.0996  0.4814  -1.6046
H  -0.9579  2.6396  -2.2166
H  -2.2524  3.2099  -1.1615
H  -0.6083  3.5396  -0.6292
H  -3.1038  0.6062  -1.1839
H  -3.3037  1.7792  0.1007
H  -2.4483  0.2911  1.8043
H  -3.8492  -0.3531  0.9515
H  -2.0777  -1.9507  1.5890
H  -2.6542  -2.0483  -0.0806
H  -0.6458  -3.4896  0.4981
H  0.0645  -2.5197  1.8120
H  1.0133  -2.7764  0.2489
H  -0.8366  -2.4631  -1.6695
H  0.6560  -1.5283  -1.5033
H  -0.8106  -0.6406  -1.9379"
45,CC1(C)C2CCC1(C)C(=O)C2,0,"27

C  1.6815  -0.4329  1.0125
C  0.7373  0.0157  -0.0496
C  1.3783  -0.0367  -1.3821
C  0.1849  1.4112  0.2894
C  -0.8091  1.5768  -0.8356
C  -1.4209  0.1875  -0.9186
C  -0.6085  -0.6882  0.0119
C  -0.5869  -2.1106  -0.3113
C  -1.0149  -0.3346  1.3942
O  -1.5729  -1.0197  2.2292
C  -0.5723  1.0988  1.5409
H  2.4420  0.3893  1.1543
H  2.1843  -1.3556  0.7064
H  1.2041  -0.5541  2.0014
H  2.0622  0.8572  -1.4721
H  2.0408  -0.9145  -1.4322
H  0.6685  0.0081  -2.2304
H  0.9408  2.1655  0.3565
H  -1.5630  2.3374  -0.5667
H  -0.2679  1.8171  -1.7811
H  -1.4146  -0.2203  -1.9412
H  -2.4403  0.2525  -0.4894
H  -0.2876  -2.7074  0.5524
H  -1.5851  -2.4163  -0.7106
H  0.1344  -2.2908  -1.1404
H  -1.5004  1.7009  1.5437
H  -0.0145  1.2636  2.4686"
46,CC1(C)C2CCC1(C)C(O)C2,0,"29

C  -1.9037  0.4946  0.8448
C  -0.6896  0.5264  -0.0154
C  -0.4242  1.9284  -0.4370
C  -0.8138  -0.4167  -1.2254
C  -0.8908  -1.7486  -0.5010
C  -0.0127  -1.5827  0.7368
C  0.5084  -0.1661  0.5937
C  1.0467  0.4300  1.8113
C  1.4551  -0.2050  -0.5931
O  2.3166  0.8473  -0.6482
C  0.5470  -0.3042  -1.8236
H  -2.8172  0.5048  0.1879
H  -1.9551  1.4738  1.4037
H  -1.9415  -0.2880  1.5944
H  -0.0401  2.5046  0.4149
H  -1.3984  2.3868  -0.7145
H  0.2612  2.0555  -1.2722
H  -1.6494  -0.1932  -1.8577
H  -1.9073  -2.0523  -0.2541
H  -0.3722  -2.4845  -1.1715
H  0.8700  -2.2513  0.6956
H  -0.5406  -1.7688  1.6661
H  0.9822  1.5101  1.8710
H  0.5108  -0.0012  2.7012
H  2.1315  0.1628  1.9083
H  2.0245  -1.1608  -0.5234
H  3.2589  0.5549  -0.4861
H  0.7491  -1.2643  -2.3800
H  0.6950  0.5075  -2.5266"
47,CC1(C)C2CCC(C2)C1=C,0,"26

C  -1.3463  -0.9705  -0.9409
C  -0.7541  -0.2099  0.2120
C  -1.7665  -0.0613  1.2934
C  0.4773  -0.8775  0.7757
C  1.3164  -1.3377  -0.3795
C  1.8269  -0.0348  -1.0111
C  1.2114  1.0551  -0.1501
C  1.2785  0.3568  1.2211
C  -0.2708  1.0964  -0.3163
C  -1.0251  2.0476  -0.8114
H  -1.2860  -2.0560  -0.8470
H  -0.9072  -0.6538  -1.9001
H  -2.4343  -0.6888  -0.9804
H  -2.1243  -1.0639  1.5726
H  -2.6567  0.5227  0.9885
H  -1.2806  0.3758  2.1984
H  0.3075  -1.5867  1.5589
H  2.1567  -1.9432  0.0248
H  0.7486  -1.9409  -1.1128
H  1.4929  0.0413  -2.0529
H  2.9041  -0.0076  -0.8554
H  1.7092  2.0012  -0.1777
H  2.3256  0.1272  1.4014
H  0.7719  0.9229  1.9964
H  -0.5786  2.9658  -1.1721
H  -2.0964  1.9198  -0.8619"
48,CC1(C)C2CCC(C2)C1(C)O,0,"29

C  -1.5070  1.4297  -0.8330
C  -0.5072  0.6478  -0.0069
C  -0.7190  1.0106  1.4423
C  0.8875  1.0774  -0.4768
C  1.9299  0.6766  0.5197
C  1.7736  -0.8526  0.5234
C  0.8417  -1.1794  -0.6120
C  1.1308  0.0059  -1.5539
C  -0.5839  -0.8355  -0.2571
C  -1.1447  -1.6251  0.8638
O  -1.3377  -1.0065  -1.4333
H  -2.0681  2.1757  -0.1969
H  -1.0234  2.0361  -1.6212
H  -2.3000  0.7719  -1.2543
H  -1.8244  1.2073  1.5587
H  -0.4503  0.2268  2.1469
H  -0.2161  1.9370  1.7417
H  0.9335  2.0797  -0.8506
H  2.9233  0.8700  0.0571
H  1.8049  1.1076  1.5111
H  1.4005  -1.1620  1.5111
H  2.7473  -1.3557  0.3761
H  0.9870  -2.1353  -1.0798
H  2.1604  -0.0029  -1.9018
H  0.3618  0.0415  -2.3375
H  -0.3986  -2.1227  1.5121
H  -1.7447  -2.4715  0.4141
H  -1.8829  -1.0645  1.4821
H  -2.1742  -1.4880  -1.2453"
49,CC1CC2C(C)(C)C3CC2(C1)CC(O)C3=C,0,"40

C  3.3859  -0.5700  0.5002
C  2.6362  0.1970  -0.5744
C  1.7686  1.2138  0.1098
C  0.4760  0.5057  0.3326
C  -0.7450  1.3337  0.1118
C  -0.5066  2.5095  -0.8008
C  -1.2294  1.8645  1.4232
C  -1.6864  0.3668  -0.5531
C  -0.7470  -0.2663  -1.5808
C  0.4090  -0.6464  -0.6443
C  1.7151  -0.7189  -1.3565
C  -0.0017  -1.9276  0.0274
C  -1.5060  -2.0934  0.0674
O  -1.7778  -2.9600  1.1353
C  -2.1108  -0.7494  0.3333
C  -2.9700  -0.6270  1.3134
H  2.6179  -0.8286  1.2833
H  3.8930  -1.4656  0.1139
H  4.0843  0.1495  0.9694
H  3.3216  0.7507  -1.2519
H  2.1995  1.4424  1.1293
H  1.7035  2.1716  -0.4061
H  0.3943  0.0574  1.3504
H  0.0104  3.2901  -0.1984
H  0.1100  2.2929  -1.6710
H  -1.4618  2.9285  -1.1602
H  -1.1873  1.1332  2.2527
H  -0.4954  2.6723  1.7185
H  -2.2020  2.3920  1.3466
H  -2.5452  0.8614  -1.0409
H  -0.4279  0.4482  -2.3508
H  -1.1817  -1.1300  -2.0784
H  2.0863  -1.7654  -1.3057
H  1.6483  -0.4246  -2.4236
H  0.4267  -2.0236  1.0434
H  0.3814  -2.7876  -0.5905
H  -1.9024  -2.5728  -0.8321
H  -1.9341  -3.8836  0.8279
H  -3.2343  -1.4709  1.9165
H  -3.4150  0.3306  1.5134"
50,CC1CC2CC(C)C3CC(C)(C)C3C(C1)O2,0,"42

C  3.7466  -1.1023  0.7676
C  2.4707  -0.4521  0.2928
C  2.7202  0.6189  -0.7491
C  1.3930  1.1421  -1.1966
C  0.8201  2.0052  -0.1028
C  -0.6686  1.7750  -0.0731
C  -1.2709  3.0153  0.6052
C  -0.9719  0.6166  0.7791
C  -2.4539  0.2172  0.7974
C  -2.0705  -1.0466  0.0642
C  -2.5504  -1.0004  -1.3466
C  -2.5510  -2.3240  0.7358
C  -0.6382  -0.7245  0.3211
C  0.3065  -0.8740  -0.8184
C  1.6332  -1.5168  -0.3777
O  0.4964  0.2123  -1.6073
H  3.5114  -1.6026  1.7483
H  4.5826  -0.4036  0.8577
H  4.0123  -1.9082  0.0506
H  1.8958  -0.0885  1.1593
H  3.2176  0.0998  -1.6077
H  3.3103  1.4588  -0.3556
H  1.5983  1.8272  -2.0724
H  1.2904  1.8391  0.8821
H  0.9683  3.0987  -0.3211
H  -1.0419  1.7563  -1.0915
H  -0.7039  3.1971  1.5473
H  -2.3165  2.8528  0.8805
H  -1.1262  3.9182  -0.0153
H  -0.6884  0.8445  1.8508
H  -3.0783  0.9177  0.2189
H  -2.8619  -0.0242  1.7771
H  -2.1076  -1.7715  -2.0084
H  -3.6522  -1.2514  -1.3169
H  -2.5057  0.0015  -1.8170
H  -2.5640  -2.2240  1.8428
H  -1.7479  -3.0895  0.5263
H  -3.4745  -2.7081  0.3046
H  -0.2673  -1.3601  1.1833
H  -0.1392  -1.6750  -1.4865
H  2.1420  -1.9950  -1.2235
H  1.3352  -2.2721  0.3946"
51,CC1(C)C2CCC(C)(C2)C1=O,0,"27

C  2.1610  -0.8572  -0.7359
C  1.1383  -0.2125  0.1496
C  1.7218  -0.0275  1.5179
C  0.5619  1.0501  -0.4301
C  -0.3171  1.7009  0.5934
C  -1.5756  0.8229  0.6789
C  -1.2300  -0.3219  -0.2365
C  -2.3562  -1.1333  -0.6991
C  -0.5083  0.4430  -1.3574
C  -0.0752  -1.0980  0.3146
O  -0.0371  -2.1968  0.8023
H  2.3730  -1.8687  -0.3327
H  1.8674  -0.8729  -1.8102
H  3.0984  -0.2739  -0.6437
H  0.9673  0.1133  2.3100
H  2.2544  -0.9788  1.7705
H  2.5039  0.7552  1.5029
H  1.2533  1.6912  -0.9453
H  -0.5789  2.7144  0.2049
H  0.1377  1.8273  1.5784
H  -2.4060  1.3889  0.2106
H  -1.7814  0.5125  1.7091
H  -2.5378  -1.1546  -1.7879
H  -2.1736  -2.2063  -0.4052
H  -3.2872  -0.8571  -0.1228
H  -0.0735  -0.2275  -2.0971
H  -1.1005  1.2673  -1.7389"
52,CC1(C)C2CCC(C)(C2)C1O,0,"29

C  -2.0567  -1.0020  -0.6518
C  -1.1790  -0.0264  0.1164
C  -2.0111  0.6428  1.1416
C  -0.5467  0.8901  -0.8872
C  0.3763  1.9043  -0.2482
C  1.5919  1.1175  0.2436
C  1.2088  -0.3067  -0.0937
C  2.3316  -1.2529  -0.1677
C  0.5189  -0.0705  -1.4516
C  0.0273  -0.7622  0.7192
O  0.1483  -0.5142  2.0666
H  -3.1367  -0.9081  -0.3358
H  -1.7646  -2.0485  -0.4966
H  -2.0631  -0.7919  -1.7408
H  -2.1091  -0.0673  2.0155
H  -3.0466  0.7786  0.7714
H  -1.6272  1.5735  1.5512
H  -1.1995  1.2844  -1.6485
H  -0.0697  2.4571  0.5742
H  0.6514  2.6346  -1.0346
H  2.4293  1.3909  -0.4227
H  1.7936  1.2821  1.3031
H  2.4987  -1.6827  -1.1766
H  3.2619  -0.7384  0.1839
H  2.1830  -2.0879  0.5779
H  1.1932  0.4272  -2.1429
H  0.0750  -1.0069  -1.7930
H  -0.1362  -1.8286  0.5666
H  0.6571  -1.2881  2.4604"
53,CC1(C)C2CCC(=C)C3CCC(C)(O)C3C12,0,"40

C  2.3557  -1.1040  1.3029
C  2.0815  -0.2104  0.0984
C  3.2460  -0.1547  -0.8703
C  1.3603  1.0273  0.3272
C  1.3657  2.2227  -0.5458
C  -0.0266  2.5895  -0.9638
C  -1.0969  1.9187  -0.1929
C  -1.7018  2.6554  0.7137
C  -1.5397  0.5516  -0.3363
C  -2.7283  0.1015  0.4229
C  -2.6739  -1.4121  0.1527
C  -1.2268  -1.7200  -0.2070
C  -0.8295  -2.9393  0.5858
O  -1.0860  -1.9899  -1.5582
C  -0.5207  -0.4817  0.1897
C  0.7495  -0.1624  -0.4753
H  2.7586  -2.0685  0.9053
H  1.4709  -1.2434  1.9358
H  3.1996  -0.6034  1.8479
H  4.0739  -0.8309  -0.5846
H  2.9082  -0.3547  -1.9217
H  3.6676  0.8784  -0.8706
H  0.9760  1.2020  1.3477
H  2.0483  2.0784  -1.4287
H  1.8343  3.0646  0.0272
H  -0.0984  2.3414  -2.0643
H  -0.1192  3.6982  -0.9296
H  -1.3825  3.6857  0.8344
H  -2.5120  2.2742  1.3493
H  -1.6816  0.2813  -1.4128
H  -2.5939  0.2571  1.5303
H  -3.6845  0.5400  0.1475
H  -3.0093  -1.9779  1.0444
H  -3.2845  -1.6282  -0.7519
H  0.0029  -3.4966  0.1191
H  -1.7169  -3.6327  0.6095
H  -0.5476  -2.6001  1.6027
H  -0.1810  -2.3748  -1.6865
H  -0.5077  -0.4064  1.2913
H  0.6502  0.0241  -1.5852"
